,number,Date,cruise,Longitude,Latitude,Depth,bacteria,virus,set,year,month,day,Longitude_pos,depth_bin,geometry
0,1,8/28/00,ARCTICSBI,-100.5,68.5,1.0,124000.0,23500000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
1,2,8/28/00,ARCTICSBI,-100.5,68.5,1.0,169000.0,24200000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
2,3,8/28/00,ARCTICSBI,-100.5,68.5,1.0,159000.0,14800000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
3,4,8/28/00,ARCTICSBI,-100.5,68.5,1.0,124000.0,15500000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
4,5,8/30/00,ARCTICSBI,-100.5,69.5,1.0,120000.0,12900000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
5,6,8/30/00,ARCTICSBI,-100.5,69.5,1.0,89100.0,6320000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
6,7,8/30/00,ARCTICSBI,-100.5,69.5,1.0,90000.0,19300000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
7,8,8/30/00,ARCTICSBI,-100.5,69.5,1.0,137000.0,18100000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
8,9,8/30/00,ARCTICSBI,-100.5,69.5,1.0,110000.0,13200000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
9,10,8/29/00,ARCTICSBI,-101.5,68.5,1.0,102000.0,6320000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
10,11,8/29/00,ARCTICSBI,-101.5,68.5,1.0,144000.0,13800000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
11,12,8/29/00,ARCTICSBI,-101.5,68.5,1.0,123000.0,14400000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
12,13,8/29/00,ARCTICSBI,-101.5,68.5,1.0,129000.0,15300000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
13,14,8/29/00,ARCTICSBI,-101.5,68.5,1.0,73200.0,5050000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
14,15,8/29/00,ARCTICSBI,-101.5,68.5,1.0,167000.0,19700000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
15,16,9/16/00,ARCTICSBI,-106.5,68.5,1.0,85700.0,12400000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
16,17,9/16/00,ARCTICSBI,-106.5,68.5,1.0,141000.0,16100000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
17,18,9/16/00,ARCTICSBI,-106.5,68.5,1.0,87200.0,11700000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
18,19,9/16/00,ARCTICSBI,-106.5,68.5,1.0,170000.0,12800000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
19,20,9/16/00,ARCTICSBI,-106.5,68.5,1.0,153000.0,14400000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
20,21,1/9/00,ARCTICSBI,-108.5,68.5,1.0,215000.0,8420000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
21,22,1/9/00,ARCTICSBI,-108.5,68.5,1.0,321000.0,13800000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
22,23,1/9/00,ARCTICSBI,-108.5,68.5,1.0,139000.0,22000000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
23,24,1/9/00,ARCTICSBI,-108.5,68.5,1.0,166000.0,9160000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
24,25,1/9/00,ARCTICSBI,-108.5,68.5,1.0,148000.0,12500000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
25,26,1/9/00,ARCTICSBI,-108.5,68.5,1.0,153000.0,15400000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
26,27,3/8/09,STRATIPHYT1,-11.5,49.5,31.07333333,110000.0,14400000.0,VB,2009,3,8,348.5,45.0,POINT (-11.5 49.5)
27,28,3/8/09,STRATIPHYT1,-11.5,49.5,44.31076923,111000.0,8290000.0,VB,2009,3,8,348.5,45.0,POINT (-11.5 49.5)
28,29,3/8/09,STRATIPHYT1,-11.5,49.5,14.48782609,114000.0,19300000.0,VB,2009,3,8,348.5,15.0,POINT (-11.5 49.5)
29,30,3/8/09,STRATIPHYT1,-11.5,49.5,74.825,55100.0,4860000.0,VB,2009,3,8,348.5,87.5,POINT (-11.5 49.5)
30,31,3/8/09,STRATIPHYT1,-11.5,49.5,66.71,51000.0,6590000.0,VB,2009,3,8,348.5,87.5,POINT (-11.5 49.5)
31,32,3/8/09,STRATIPHYT1,-11.5,49.5,125.78,45400.0,3320000.0,VB,2009,3,8,348.5,160.0,POINT (-11.5 49.5)
32,33,3/8/09,STRATIPHYT1,-11.5,49.5,56.02,98500.0,7920000.0,VB,2009,3,8,348.5,65.0,POINT (-11.5 49.5)
33,34,5/8/09,STRATIPHYT1,-11.5,51.5,45.27,96600.0,16500000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
34,35,5/8/09,STRATIPHYT1,-11.5,51.5,57.18777778,94500.0,20100000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
35,36,5/8/09,STRATIPHYT1,-11.5,51.5,60.31466667,117000.0,8560000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
36,37,5/8/09,STRATIPHYT1,-11.5,51.5,30.80666667,171000.0,23900000.0,VB,2009,5,8,348.5,45.0,POINT (-11.5 51.5)
37,38,5/8/09,STRATIPHYT1,-11.5,51.5,73.885,101000.0,7560000.0,VB,2009,5,8,348.5,87.5,POINT (-11.5 51.5)
38,39,5/8/09,STRATIPHYT1,-11.5,51.5,124.264,44600.0,4830000.0,VB,2009,5,8,348.5,160.0,POINT (-11.5 51.5)
39,40,5/8/09,STRATIPHYT1,-11.5,51.5,15.164,124000.0,25500000.0,VB,2009,5,8,348.5,27.5,POINT (-11.5 51.5)
40,41,8/17/00,ARCTICSBI,-110.5,68.5,1.0,333000.0,17900000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
41,42,8/17/00,ARCTICSBI,-110.5,68.5,1.0,219000.0,18000000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
42,43,8/17/00,ARCTICSBI,-110.5,68.5,1.0,189000.0,13500000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
43,44,8/17/00,ARCTICSBI,-110.5,68.5,1.0,168000.0,13000000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
44,45,8/17/00,ARCTICSBI,-110.5,68.5,1.0,175000.0,16300000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
45,46,8/17/00,ARCTICSBI,-110.5,68.5,1.0,320000.0,19800000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
46,47,2/9/00,ARCTICSBI,-111.5,67.5,1.0,217000.0,11300000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
47,48,2/9/00,ARCTICSBI,-111.5,67.5,1.0,147000.0,9500000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
48,49,2/9/00,ARCTICSBI,-111.5,67.5,1.0,237000.0,5630000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
49,50,2/9/00,ARCTICSBI,-111.5,67.5,1.0,196000.0,8900000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
50,51,2/9/00,ARCTICSBI,-111.5,67.5,1.0,180000.0,15700000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
51,52,2/9/00,ARCTICSBI,-111.5,67.5,1.0,90000.0,7460000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
52,53,9/16/00,ARCTICSBI,-112.5,68.5,1.0,152000.0,12000000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
53,54,9/16/00,ARCTICSBI,-112.5,68.5,1.0,243000.0,7690000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
54,55,9/16/00,ARCTICSBI,-112.5,68.5,1.0,210000.0,18200000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
55,56,9/16/00,ARCTICSBI,-112.5,68.5,1.0,111000.0,24000000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
56,57,9/16/00,ARCTICSBI,-112.5,68.5,1.0,231000.0,14700000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
57,58,9/16/00,ARCTICSBI,-112.5,68.5,1.0,182000.0,24500000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
58,59,12/8/00,ARCTICSBI,-113.5,68.5,1.0,152000.0,6650000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
59,60,8/16/00,ARCTICSBI,-113.5,68.5,1.0,141000.0,16800000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
60,61,12/8/00,ARCTICSBI,-113.5,68.5,1.0,204000.0,15900000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
61,62,12/8/00,ARCTICSBI,-113.5,68.5,1.0,235000.0,16100000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
62,63,8/16/00,ARCTICSBI,-113.5,68.5,1.0,132000.0,11000000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
63,64,12/8/00,ARCTICSBI,-113.5,68.5,1.0,231000.0,12800000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
64,65,8/16/00,ARCTICSBI,-113.5,68.5,1.0,270000.0,24500000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
65,66,8/16/00,ARCTICSBI,-113.5,68.5,1.0,304000.0,9910000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
66,67,8/16/00,ARCTICSBI,-113.5,68.5,1.0,157000.0,24100000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
67,68,12/8/00,ARCTICSBI,-113.5,68.5,1.0,181000.0,16900000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
68,69,12/8/00,ARCTICSBI,-113.5,68.5,1.0,464000.0,26400000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
69,70,8/16/00,ARCTICSBI,-113.5,68.5,1.0,95000.0,8150000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
70,71,8/14/00,ARCTICSBI,-115.5,67.5,1.0,107000.0,13600000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
71,72,8/14/00,ARCTICSBI,-115.5,67.5,1.0,128000.0,8460000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
72,73,8/14/00,ARCTICSBI,-115.5,67.5,1.0,102000.0,4980000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
73,74,8/14/00,ARCTICSBI,-115.5,67.5,1.0,543000.0,8090000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
74,75,8/14/00,ARCTICSBI,-115.5,67.5,1.0,109000.0,9510000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
75,76,7/14/04,USC MO,-118.5,33.5,23.0,1935318.35,46099718.0,VB,2004,7,14,241.5,27.5,POINT (-118.5 33.5)
81,82,6/19/02,USC MO,-118.5,33.5,5.0,1115671.16,21484208.2,VB,2002,6,19,241.5,5.0,POINT (-118.5 33.5)
83,84,12/16/10,USC MO,-118.5,33.5,5.0,1937927.76,41968139.5,VB,2010,12,16,241.5,5.0,POINT (-118.5 33.5)
90,91,11/19/01,USC MO,-118.5,33.5,5.0,609734.0,11771374.53,VB,2001,11,19,241.5,5.0,POINT (-118.5 33.5)
91,92,2/19/04,USC MO,-118.5,33.5,5.0,3704729.25,42388545.73,VB,2004,2,19,241.5,5.0,POINT (-118.5 33.5)
92,93,2/22/06,USC MO,-118.5,33.5,5.0,1020572.37,22354014.2,VB,2006,2,22,241.5,5.0,POINT (-118.5 33.5)
93,94,12/13/05,USC MO,-118.5,33.5,5.0,1643933.34,37575619.2,VB,2005,12,13,241.5,5.0,POINT (-118.5 33.5)
94,95,11/17/05,USC MO,-118.5,33.5,5.0,1555213.12,25137393.4,VB,2005,11,17,241.5,5.0,POINT (-118.5 33.5)
95,96,6/20/06,USC MO,-118.5,33.5,5.0,949828.15,22197449.12,VB,2006,6,20,241.5,5.0,POINT (-118.5 33.5)
96,97,12/11/09,USC MO,-118.5,33.5,5.0,697584.41,32226312.3,VB,2009,12,11,241.5,5.0,POINT (-118.5 33.5)
97,98,12/11/03,USC MO,-118.5,33.5,5.0,1200332.28,31139054.8,VB,2003,12,11,241.5,5.0,POINT (-118.5 33.5)
98,99,11/2/10,USC MO,-118.5,33.5,5.0,739335.1,38271464.0,VB,2010,11,2,241.5,5.0,POINT (-118.5 33.5)
99,100,11/20/08,USC MO,-118.5,33.5,15.5,5871190.5,35096672.1,VB,2008,11,20,241.5,27.5,POINT (-118.5 33.5)
101,102,2/7/03,USC MO,-118.5,33.5,24.0,2783379.2,26963986.0,VB,2003,2,7,241.5,27.5,POINT (-118.5 33.5)
103,104,12/3/03,USC MO,-118.5,33.5,150.0,254679.19,4470802.84,VB,2003,12,3,241.5,160.0,POINT (-118.5 33.5)
105,106,3/29/06,USC MO,-118.5,33.5,150.0,320552.5,3757561.92,VB,2006,3,29,241.5,160.0,POINT (-118.5 33.5)
110,111,4/20/05,USC MO,-118.5,33.5,150.0,455082.49,7306370.4,VB,2005,4,20,241.5,160.0,POINT (-118.5 33.5)
111,112,2/4/01,USC MO,-118.5,33.5,150.0,447660.15,12902122.33,VB,2001,2,4,241.5,160.0,POINT (-118.5 33.5)
112,113,2/18/09,USC MO,-118.5,33.5,16.0,2354564.84,38097502.8,VB,2009,2,18,241.5,27.5,POINT (-118.5 33.5)
113,114,2/14/07,USC MO,-118.5,33.5,5.0,857628.71,16852491.25,VB,2007,2,14,241.5,5.0,POINT (-118.5 33.5)
114,115,3/17/04,USC MO,-118.5,33.5,150.0,819357.25,3150630.62,VB,2004,3,17,241.5,160.0,POINT (-118.5 33.5)
115,116,11/3/09,USC MO,-118.5,33.5,150.0,468535.49,7254182.04,VB,2009,11,3,241.5,160.0,POINT (-118.5 33.5)
123,124,9/7/09,USC MO,-118.5,33.5,22.0,2207132.72,64626585.8,VB,2009,9,7,241.5,27.5,POINT (-118.5 33.5)
124,125,11/1/11,USC MO,-118.5,33.5,5.0,3103467.8,35053181.8,VB,2011,11,1,241.5,5.0,POINT (-118.5 33.5)
125,126,4/27/10,USC MO,-118.5,33.5,150.0,348792.2,6219112.9,VB,2010,4,27,241.5,160.0,POINT (-118.5 33.5)
126,127,2/22/06,USC MO,-118.5,33.5,31.0,1278614.82,22527975.4,VB,2006,2,22,241.5,45.0,POINT (-118.5 33.5)
127,128,4/22/04,USC MO,-118.5,33.5,150.0,592859.76,6027755.58,VB,2004,4,22,241.5,160.0,POINT (-118.5 33.5)
128,129,4/23/09,USC MO,-118.5,33.5,150.0,1644513.21,7671688.92,VB,2009,4,23,241.5,160.0,POINT (-118.5 33.5)
130,131,6/29/10,USC MO,-118.5,33.5,5.0,1715257.43,26355121.8,VB,2010,6,29,241.5,5.0,POINT (-118.5 33.5)
131,132,1/14/02,USC MO,-118.5,33.5,25.6,1062323.06,5676289.52,VB,2002,1,14,241.5,27.5,POINT (-118.5 33.5)
132,133,1/16/01,USC MO,-118.5,33.5,31.0,977661.94,22243838.77,VB,2001,1,16,241.5,45.0,POINT (-118.5 33.5)
133,134,1/28/10,USC MO,-118.5,33.5,30.0,3209584.14,30704151.8,VB,2010,1,28,241.5,45.0,POINT (-118.5 33.5)
134,135,1/15/03,USC MO,-118.5,33.5,40.0,965484.66,17709250.16,VB,2003,1,15,241.5,45.0,POINT (-118.5 33.5)
135,136,11/1/11,USC MO,-118.5,33.5,150.0,521883.6,7233886.56,VB,2011,11,1,241.5,160.0,POINT (-118.5 33.5)
136,137,11/23/10,USC MO,-118.5,33.5,27.0,1635235.28,32052351.1,VB,2010,11,23,241.5,27.5,POINT (-118.5 33.5)
137,138,11/17/04,USC MO,-118.5,33.5,35.0,1527379.33,42011629.8,VB,2004,11,17,241.5,45.0,POINT (-118.5 33.5)
139,140,4/22/08,USC MO,-118.5,33.5,150.0,384106.32,3148697.72,VB,2008,4,22,241.5,160.0,POINT (-118.5 33.5)
140,141,6/18/09,USC MO,-118.5,33.5,5.0,1822243.57,24006645.6,VB,2009,6,18,241.5,5.0,POINT (-118.5 33.5)
141,142,6/17/04,USC MO,-118.5,33.5,5.0,1356897.36,48970077.8,VB,2004,6,17,241.5,5.0,POINT (-118.5 33.5)
142,143,6/14/05,USC MO,-118.5,33.5,5.0,2739888.9,47839330.0,VB,2005,6,14,241.5,5.0,POINT (-118.5 33.5)
144,145,11/23/10,USC MO,-118.5,33.5,150.0,411244.27,5690464.14,VB,2010,11,23,241.5,160.0,POINT (-118.5 33.5)
145,146,4/20/05,USC MO,-118.5,33.5,30.0,2457201.95,33226589.2,VB,2005,4,20,241.5,45.0,POINT (-118.5 33.5)
146,147,4/23/09,USC MO,-118.5,33.5,26.0,7132409.2,31617448.1,VB,2009,4,23,241.5,27.5,POINT (-118.5 33.5)
147,148,4/22/02,USC MO,-118.5,33.5,28.0,2803674.67,21600182.33,VB,2002,4,22,241.5,45.0,POINT (-118.5 33.5)
148,149,4/22/02,USC MO,-118.5,33.5,150.0,432119.62,4557783.44,VB,2002,4,22,241.5,160.0,POINT (-118.5 33.5)
149,150,4/19/06,USC MO,-118.5,33.5,150.0,495209.54,3924564.67,VB,2006,4,19,241.5,160.0,POINT (-118.5 33.5)
150,151,5/21/03,USC MO,-118.5,33.5,150.0,601905.75,4723046.58,VB,2003,5,21,241.5,160.0,POINT (-118.5 33.5)
151,152,9/5/01,USC MO,-118.5,33.5,150.0,312695.25,7763018.55,VB,2001,9,5,241.5,160.0,POINT (-118.5 33.5)
152,153,6/17/03,USC MO,-118.5,33.5,5.0,2510839.98,17686055.33,VB,2003,6,17,241.5,5.0,POINT (-118.5 33.5)
153,154,5/14/08,USC MO,-118.5,33.5,150.0,264768.94,4038509.25,VB,2008,5,14,241.5,160.0,POINT (-118.5 33.5)
154,155,5/19/04,USC MO,-118.5,33.5,150.0,312260.35,2535484.49,VB,2004,5,19,241.5,160.0,POINT (-118.5 33.5)
158,159,11/2/10,USC MO,-118.5,33.5,31.0,742814.32,36966755.0,VB,2010,11,2,241.5,45.0,POINT (-118.5 33.5)
159,160,2/20/02,USC MO,-118.5,33.5,43.0,1479829.94,16439333.4,VB,2002,2,20,241.5,45.0,POINT (-118.5 33.5)
160,161,2/18/09,USC MO,-118.5,33.5,150.0,547629.85,7045428.6,VB,2009,2,18,241.5,160.0,POINT (-118.5 33.5)
161,162,5/2/01,USC MO,-118.5,33.5,150.0,1205551.11,27094456.9,VB,2001,5,2,241.5,160.0,POINT (-118.5 33.5)
162,163,2/19/04,USC MO,-118.5,33.5,150.0,349314.08,5427589.44,VB,2004,2,19,241.5,160.0,POINT (-118.5 33.5)
163,164,2/22/06,USC MO,-118.5,33.5,150.0,239370.61,3924564.67,VB,2006,2,22,241.5,160.0,POINT (-118.5 33.5)
164,165,11/2/10,USC MO,-118.5,33.5,150.0,356620.46,4356278.38,VB,2010,11,2,241.5,160.0,POINT (-118.5 33.5)
165,166,5/20/02,USC MO,-118.5,33.5,150.0,482916.29,4001107.6,VB,2002,5,20,241.5,160.0,POINT (-118.5 33.5)
176,177,1/16/01,USC MO,-118.5,33.5,150.0,200055.38,3961966.33,VB,2001,1,16,241.5,160.0,POINT (-118.5 33.5)
177,178,1/28/10,USC MO,-118.5,33.5,150.0,558415.45,11191503.86,VB,2010,1,28,241.5,160.0,POINT (-118.5 33.5)
179,180,12/11/03,USC MO,-118.5,33.5,36.5,1269916.76,18265926.0,VB,2003,12,11,241.5,45.0,POINT (-118.5 33.5)
180,181,11/17/04,USC MO,-118.5,33.5,150.0,324263.67,3644487.14,VB,2004,11,17,241.5,160.0,POINT (-118.5 33.5)
181,182,11/20/08,USC MO,-118.5,33.5,150.0,416115.19,6420328.02,VB,2008,11,20,241.5,160.0,POINT (-118.5 33.5)
182,183,12/11/03,USC MO,-118.5,33.5,150.0,370189.43,8454514.32,VB,2003,12,11,241.5,160.0,POINT (-118.5 33.5)
183,184,11/19/01,USC MO,-118.5,33.5,150.0,143170.06,1163800.42,VB,2001,11,19,241.5,160.0,POINT (-118.5 33.5)
186,187,2/20/02,USC MO,-118.5,33.5,5.0,1043767.2,9277930.66,VB,2002,2,20,241.5,5.0,POINT (-118.5 33.5)
187,188,2/18/09,USC MO,-118.5,33.5,5.0,2812372.73,36009968.4,VB,2009,2,18,241.5,5.0,POINT (-118.5 33.5)
188,189,5/2/01,USC MO,-118.5,33.5,5.0,1595804.07,39025295.86,VB,2001,5,2,241.5,5.0,POINT (-118.5 33.5)
189,190,3/16/05,USC MO,-118.5,33.5,34.0,1293111.58,19425667.33,VB,2005,3,16,241.5,45.0,POINT (-118.5 33.5)
190,191,12/3/03,USC MO,-118.5,33.5,35.0,2148420.82,25050412.8,VB,2003,12,3,241.5,45.0,POINT (-118.5 33.5)
191,192,3/29/06,USC MO,-118.5,33.5,28.0,972443.1,48274233.0,VB,2006,3,29,241.5,45.0,POINT (-118.5 33.5)
192,193,3/19/08,USC MO,-118.5,33.5,30.5,798481.9,30008307.0,VB,2008,3,19,241.5,45.0,POINT (-118.5 33.5)
193,194,3/15/02,USC MO,-118.5,33.5,38.0,1484468.9,14438779.6,VB,2002,3,15,241.5,45.0,POINT (-118.5 33.5)
194,195,3/19/08,USC MO,-118.5,33.5,150.0,571984.42,4801329.12,VB,2008,3,19,241.5,160.0,POINT (-118.5 33.5)
195,196,3/19/01,USC MO,-118.5,33.5,150.0,172656.49,4122880.44,VB,2001,3,19,241.5,160.0,POINT (-118.5 33.5)
196,197,3/15/02,USC MO,-118.5,33.5,150.0,318001.07,1325004.47,VB,2002,3,15,241.5,160.0,POINT (-118.5 33.5)
197,198,3/16/05,USC MO,-118.5,33.5,150.0,342123.69,4404697.58,VB,2005,3,16,241.5,160.0,POINT (-118.5 33.5)
198,199,7/14/04,USC MO,-118.5,33.5,5.0,1092476.33,41402765.6,VB,2004,7,14,241.5,5.0,POINT (-118.5 33.5)
199,200,9/7/08,USC MO,-118.5,33.5,5.0,1819634.15,31626146.16,VB,2008,9,7,241.5,5.0,POINT (-118.5 33.5)
200,201,7/27/01,USC MO,-118.5,33.5,5.0,573202.15,15460801.65,VB,2001,7,27,241.5,5.0,POINT (-118.5 33.5)
201,202,9/7/09,USC MO,-118.5,33.5,5.0,1680465.19,53406088.4,VB,2009,9,7,241.5,5.0,POINT (-118.5 33.5)
202,203,9/7/08,USC MO,-118.5,33.5,23.5,3927174.09,30234456.56,VB,2008,9,7,241.5,27.5,POINT (-118.5 33.5)
203,204,11/7/02,USC MO,-118.5,33.5,24.0,2829768.85,22383007.73,VB,2002,11,7,241.5,27.5,POINT (-118.5 33.5)
214,215,2/4/01,USC MO,-118.5,33.5,5.0,1499545.54,18648640.64,VB,2001,2,4,241.5,5.0,POINT (-118.5 33.5)
215,216,4/4/07,USC MO,-118.5,33.5,5.0,2571146.53,12542602.52,VB,2007,4,4,241.5,5.0,POINT (-118.5 33.5)
216,217,4/22/08,USC MO,-118.5,33.5,5.0,1840509.49,26529083.0,VB,2008,4,22,241.5,5.0,POINT (-118.5 33.5)
217,218,4/27/10,USC MO,-118.5,33.5,5.0,2647472.01,42533513.4,VB,2010,4,27,241.5,5.0,POINT (-118.5 33.5)
218,219,4/22/02,USC MO,-118.5,33.5,5.0,2415161.32,26065186.46,VB,2002,4,22,241.5,5.0,POINT (-118.5 33.5)
219,220,4/19/06,USC MO,-118.5,33.5,5.0,2400664.56,46186698.6,VB,2006,4,19,241.5,5.0,POINT (-118.5 33.5)
220,221,4/23/09,USC MO,-118.5,33.5,5.0,7480331.6,15801475.66,VB,2009,4,23,241.5,5.0,POINT (-118.5 33.5)
221,222,11/19/01,USC MO,-118.5,33.5,38.0,366478.26,4337432.58,VB,2001,11,19,241.5,45.0,POINT (-118.5 33.5)
222,223,4/22/04,USC MO,-118.5,33.5,5.0,1507663.73,43954196.53,VB,2004,4,22,241.5,5.0,POINT (-118.5 33.5)
223,224,4/19/06,USC MO,-118.5,33.5,7.6,1948365.44,41924649.2,VB,2006,4,19,241.5,15.0,POINT (-118.5 33.5)
224,225,2/4/01,USC MO,-118.5,33.5,14.1,2426758.74,28138224.1,VB,2001,2,4,241.5,15.0,POINT (-118.5 33.5)
225,226,4/22/08,USC MO,-118.5,33.5,7.0,1738742.19,32530744.4,VB,2008,4,22,241.5,15.0,POINT (-118.5 33.5)
226,227,4/22/04,USC MO,-118.5,33.5,17.5,2304985.9,43838222.4,VB,2004,4,22,241.5,27.5,POINT (-118.5 33.5)
234,235,8/20/02,USC MO,-118.5,33.5,5.0,1499545.54,40880882.0,VB,2002,8,20,241.5,5.0,POINT (-118.5 33.5)
235,236,8/20/08,USC MO,-118.5,33.5,5.0,625390.51,21962601.5,VB,2008,8,20,241.5,5.0,POINT (-118.5 33.5)
236,237,8/24/01,USC MO,-118.5,33.5,5.0,652354.5,10553646.13,VB,2001,8,24,241.5,5.0,POINT (-118.5 33.5)
237,238,12/15/04,USC MO,-118.5,33.5,5.0,1578697.89,36705813.2,VB,2004,12,15,241.5,5.0,POINT (-118.5 33.5)
238,239,12/17/07,USC MO,-118.5,33.5,5.0,1243822.58,31530467.5,VB,2007,12,17,241.5,5.0,POINT (-118.5 33.5)
239,240,11/12/08,USC MO,-118.5,33.5,5.0,1520420.88,34748749.7,VB,2008,11,12,241.5,5.0,POINT (-118.5 33.5)
240,241,9/12/02,USC MO,-118.5,33.5,5.0,680381.58,25833238.2,VB,2002,9,12,241.5,5.0,POINT (-118.5 33.5)
241,242,12/23/09,USC MO,-118.5,33.5,5.0,1513462.44,15772482.13,VB,2009,12,23,241.5,5.0,POINT (-118.5 33.5)
242,243,12/16/03,USC MO,-118.5,33.5,5.0,1703428.07,33261381.44,VB,2003,12,16,241.5,5.0,POINT (-118.5 33.5)
243,244,12/17/01,USC MO,-118.5,33.5,5.0,852409.88,7758669.52,VB,2001,12,17,241.5,5.0,POINT (-118.5 33.5)
244,245,8/12/00,USC MO,-118.5,33.5,5.0,579870.66,17164171.73,VB,2000,8,12,241.5,5.0,POINT (-118.5 33.5)
245,246,12/15/04,USC MO,-118.5,33.5,21.0,1917922.23,50970631.6,VB,2004,12,15,241.5,27.5,POINT (-118.5 33.5)
246,247,1/15/03,USC MO,-118.5,33.5,5.0,1076239.95,18509471.68,VB,2003,1,15,241.5,5.0,POINT (-118.5 33.5)
247,248,1/16/01,USC MO,-118.5,33.5,5.0,887202.12,23136839.6,VB,2001,1,16,241.5,5.0,POINT (-118.5 33.5)
248,249,1/28/10,USC MO,-118.5,33.5,5.0,4705650.46,32704705.6,VB,2010,1,28,241.5,5.0,POINT (-118.5 33.5)
249,250,1/19/05,USC MO,-118.5,33.5,5.0,1337761.62,22354014.2,VB,2005,1,19,241.5,5.0,POINT (-118.5 33.5)
250,251,1/14/02,USC MO,-118.5,33.5,5.0,1040287.97,7692950.84,VB,2002,1,14,241.5,5.0,POINT (-118.5 33.5)
251,252,1/18/06,USC MO,-118.5,33.5,5.0,904598.24,30704151.8,VB,2006,1,18,241.5,5.0,POINT (-118.5 33.5)
